"year","name","percent","sex"
2008,"Atticus",0.000159,"boy"
2008,"Davian",0.000158,"boy"
2008,"Eugene",0.000158,"boy"
2008,"Jax",0.000157,"boy"
2008,"Antoine",0.000157,"boy"
2008,"Wayne",0.000156,"boy"
2008,"Randall",0.000155,"boy"
2008,"Semaj",0.000155,"boy"
2008,"Uriah",0.000155,"boy"
2008,"Clark",0.000155,"boy"
2008,"Aidyn",0.000154,"boy"
2008,"Jorden",0.000154,"boy"
2008,"Maxim",0.000154,"boy"
2008,"Aditya",0.000153,"boy"
2008,"Lawson",0.000153,"boy"
2008,"Messiah",0.000153,"boy"
2008,"Korbin",0.000152,"boy"
2008,"Sullivan",0.000152,"boy"
2008,"Freddy",0.000151,"boy"
2008,"Demarcus",0.000151,"boy"
2008,"Neil",0.000151,"boy"
2008,"Brice",0.00015,"boy"
2008,"King",0.00015,"boy"
2008,"Davon",0.00015,"boy"
2008,"Elvis",0.00015,"boy"
2008,"Ace",0.000149,"boy"
2008,"Dexter",0.000149,"boy"
2008,"Heath",0.000149,"boy"
2008,"Duncan",0.000148,"boy"
2008,"Jamar",0.000148,"boy"
2008,"Sincere",0.000148,"boy"
2008,"Irvin",0.000147,"boy"
2008,"Remington",0.000147,"boy"
2008,"Kadin",0.000147,"boy"
2008,"Soren",0.000147,"boy"
2008,"Tyree",0.000147,"boy"
2008,"Damarion",0.000146,"boy"
2008,"Talan",0.000146,"boy"
2008,"Adrien",0.000145,"boy"
2008,"Gilbert",0.000145,"boy"
2008,"Keenan",0.000145,"boy"
2008,"Darnell",0.000145,"boy"
2008,"Adolfo",0.000144,"boy"
2008,"Tristian",0.000144,"boy"
2008,"Derick",0.000143,"boy"
2008,"Isai",0.000143,"boy"
2008,"Rylee",0.000143,"boy"
2008,"Gauge",0.000142,"boy"
2008,"Harold",0.000142,"boy"
2008,"Kareem",0.000142,"boy"
2008,"Deangelo",0.000141,"boy"
2008,"Agustin",0.00014,"boy"
2008,"Coleman",0.00014,"boy"
2008,"Zavier",0.00014,"boy"
2008,"Lamar",0.00014,"boy"
